Episodic Reward,
1080.0,
1280.0,
680.0,
730.0,
380.0,
730.0,
830.0,
430.0,
1300.0,
580.0,
830.0,
480.0,
1440.0,
580.0,
1080.0,
830.0,
1180.0,
380.0,
980.0,
680.0,
580.0,
880.0,
1280.0,
480.0,
1340.0,
680.0,
630.0,
1280.0,
480.0,
880.0,
830.0,
180.0,
390.0,
430.0,
530.0,
430.0,
430.0,
260.0,
710.0,
630.0,
830.0,
230.0,
410.0,
880.0,
880.0,
380.0,
930.0,
410.0,
1080.0,
630.0,
630.0,
260.0,
1180.0,
260.0,
830.0,
630.0,
1280.0,
490.0,
1320.0,
430.0,
610.0,
630.0,
630.0,
560.0,
480.0,
430.0,
730.0,
580.0,
180.0,
630.0,
830.0,
1180.0,
480.0,
980.0,
1490.0,
980.0,
330.0,
530.0,
580.0,
510.0,
1080.0,
1350.0,
780.0,
1030.0,
1180.0,
1390.0,
310.0,
380.0,
580.0,
310.0,
930.0,
580.0,
660.0,
330.0,
380.0,
1370.0,
1180.0,
730.0,
480.0,
730.0,
630.0,
290.0,
610.0,
480.0,
430.0,
730.0,
530.0,
780.0,
1180.0,
390.0,
830.0,
530.0,
1030.0,
1080.0,
930.0,
1300.0,
1180.0,
1300.0,
480.0,
680.0,
510.0,
1030.0,
880.0,
460.0,
460.0,
310.0,
1300.0,
480.0,
880.0,
880.0,
680.0,
440.0,
930.0,
610.0,
680.0,
530.0,
1440.0,
510.0,
480.0,
1520.0,
830.0,
480.0,
1080.0,
860.0,
630.0,
1080.0,
880.0,
280.0,
830.0,
930.0,
1030.0,
980.0,
1340.0,
1280.0,
680.0,
1280.0,
1560.0,
780.0,
380.0,
1080.0,
1280.0,
880.0,
830.0,
1280.0,
1300.0,
1080.0,
1980.0,
980.0,
1440.0,
1280.0,
630.0,
1180.0,
1080.0,
1300.0,
380.0,
880.0,
1410.0,
1300.0,
730.0,
980.0,
830.0,
1180.0,
1750.0,
710.0,
1300.0,
680.0,
660.0,
630.0,
780.0,
1580.0,
1280.0,
1080.0,
880.0,
1350.0,
1640.0,
380.0,
1180.0,
580.0,
430.0,
1180.0,
880.0,
1030.0,
1370.0,
880.0,
1180.0,
530.0,
730.0,
1460.0,
1360.0,
1500.0,
980.0,
980.0,
1280.0,
580.0,
230.0,
480.0,
1030.0,
1280.0,
1440.0,
780.0,
1080.0,
680.0,
1320.0,
1830.0,
1080.0,
980.0,
2400.0,
630.0,
1300.0,
2700.0,
930.0,
1420.0,
760.0,
2000.0,
730.0,
1530.0,
1030.0,
630.0,
1910.0,
1180.0,
980.0,
780.0,
1950.0,
530.0,
610.0,
1280.0,
830.0,
2800.0,
530.0,
1710.0,
1180.0,
1300.0,
1320.0,
830.0,
1390.0,
1030.0,
2500.0,
1280.0,
1180.0,
2080.0,
730.0,
730.0,
1280.0,
880.0,
1710.0,
830.0,
460.0,
1350.0,
2250.0,
2100.0,
730.0,
930.0,
1280.0,
1350.0,
1080.0,
1300.0,
2130.0,
580.0,
1280.0,
1350.0,
2900.0,
2030.0,
1280.0,
1810.0,
1750.0,
1530.0,
830.0,
1640.0,
980.0,
1340.0,
1510.0,
2400.0,
480.0,
1390.0,
1680.0,
1080.0,
510.0,
1300.0,
780.0,
1880.0,
1990.0,
1030.0,
1830.0,
480.0,
880.0,
1830.0,
1300.0,
980.0,
2250.0,
1300.0,
1370.0,
1760.0,
1510.0,
2250.0,
1130.0,
2030.0,
680.0,
580.0,
680.0,
1180.0,
1880.0,
1180.0,
1300.0,
1900.0,
1410.0,
1080.0,
880.0,
1520.0,
1080.0,
1080.0,
980.0,
1520.0,
2230.0,
2300.0,
1860.0,
1370.0,
1440.0,
830.0,
1880.0,
1300.0,
1320.0,
1080.0,
830.0,
660.0,
2250.0,
1370.0,
930.0,
1780.0,
1280.0,
1680.0,
1980.0,
1640.0,
680.0,
930.0,
2180.0,
1080.0,
1080.0,
1080.0,
1900.0,
1280.0,
630.0,
580.0,
310.0,
1370.0,
730.0,
930.0,
1520.0,
2230.0,
1680.0,
1180.0,
2130.0,
1480.0,
1610.0,
1180.0,
1180.0,
1560.0,
1370.0,
930.0,
1180.0,
530.0,
2100.0,
560.0,
1510.0,
1300.0,
1640.0,
1130.0,
2210.0,
2950.0,
680.0,
1300.0,
1710.0,
1520.0,
1300.0,
780.0,
930.0,
880.0,
1030.0,
1670.0,
1280.0,
830.0,
880.0,
1370.0,
1370.0,
1980.0,
1410.0,
1710.0,
1700.0,
1530.0,
1300.0,
480.0,
1560.0,
2150.0,
1420.0,
1430.0,
480.0,
1490.0,
1080.0,
780.0,
1800.0,
1630.0,
1280.0,
980.0,
330.0,
1280.0,
1610.0,
730.0,
1280.0,
1590.0,
1930.0,
1280.0,
880.0,
1280.0,
830.0,
1320.0,
980.0,
1600.0,
1300.0,
1130.0,
880.0,
1630.0,
1680.0,
1080.0,
930.0,
1440.0,
1790.0,
1830.0,
1180.0,
1680.0,
1630.0,
1280.0,
1930.0,
1810.0,
830.0,
930.0,
1800.0,
1880.0,
1080.0,
1810.0,
1130.0,
1610.0,
1280.0,
680.0,
1300.0,
1880.0,
2060.0,
1610.0,
1080.0,
630.0,
1950.0,
1180.0,
1610.0,
1440.0,
1370.0,
1660.0,
2750.0,
680.0,
1510.0,
1830.0,
1610.0,
1830.0,
2250.0,
1450.0,
980.0,
880.0,
1300.0,
780.0,
1810.0,
1590.0,
1840.0,
1320.0,
1560.0,
780.0,
830.0,
1670.0,
1830.0,
930.0,
1280.0,
2100.0,
780.0,
1300.0,
2000.0,
1410.0,
1300.0,
2080.0,
2000.0,
530.0,
1410.0,
1280.0,
1080.0,
580.0,
830.0,
1630.0,
830.0,
480.0,
780.0,
2650.0,
1180.0,
2450.0,
3050.0,
1440.0,
680.0,
1130.0,
2550.0,
1300.0,
1180.0,
1080.0,
1450.0,
380.0,
1300.0,
1080.0,
880.0,
1950.0,
1300.0,
3000.0,
930.0,
1280.0,
1930.0,
2030.0,
1180.0,
1880.0,
1340.0,
1080.0,
1280.0,
1300.0,
1490.0,
1600.0,
1370.0,
1860.0,
2500.0,
1900.0,
1560.0,
2450.0,
1280.0,
