Episodic Reward
-21
-21
-21
-20
-21
-20
-20
-21
-20
-17
-21
-18
-19
-20
-20
-21
-20
-19
-19
-21
-20
-16
-20
-20
-17
-19
-18
-19
-19
-19
-20
-19
-18
-19
-19
-18
-19
-19
-20
-21
-19
-20
-19
-19
-19
-19
-17
-19
-21
-17
-18
-20
-19
-18
-20
-19
-19
-18
-18
-19
-16
-15
-20
-17
-20
-18
-19
-21
-18
-17
-17
-14
-18
-20
-15
-21
-18
-18
-18
-19
-20
-17
-17
-19
-17
-17
-18
-18
-17
-15
-15
-20
-18
-19
-18
-19
-16
-19
-14
-17
-20
-19
-16
-15
-19
-17
-13
-15
-17
-17
-18
-15
-18
-15
-11
-17
-16
-17
-15
-16
-15
-12
-13
-14
-14
-17
-15
-12
-18
-17
-11
-10
-15
-16
-16
-6
-12
-13
-15
-14
-11
-14
-13
-15
-17
-14
-13
-18
-16
-20
-10
-15
-13
-7
-14
-17
-7
-14
-13
-15
-10
-13
-12
-12
-13
-14
-17
-15
-17
-13
-13
-11
-12
-6
-12
-13
-14
-16
-18
-10
-14
-15
-9
-16
-9
-6
-11
-12
-5
-17
-8
-9
-7
-14
-14
-13
-8
-14
-12
-12
-14
-3
-19
-1
-15
-12
-11
-9
-12
-16
-11
-7
-7
-11
-4
-7
-13
-5
-1
-9
-6
-8
-14
-13
-16
-12
-14
-9
-14
-10
-17
-18
-10
-13
-13
-15
-18
-5
-14
-7
-10
-20
-2
-13
-6
-4
-11
-12
-18
-16
-7
-4
-4
-5
-5
-13
-17
-11
-3
-9
-7
-16
-14
-14
-10
-6
3
-16
-3
-13
-8
-10
-3
-12
-10
-15
-8
-4
-5
-13
-14
-8
-19
-16
-3
-12
-7
-5
-8
-3
-16
-10
-13
-8
-3
-19
-15
-7
-16
-13
-8
-1
-15
-3
-14
-13
-1
6
-14
-6
-16
3
-7
-6
-7
-15
-7
-8
-12
-10
-11
-4
-2
-18
-10
-9
-6
-12
-12
2
-8
-15
-10
-2
-7
-10
-2
-11
-6
-8
-9
-10
-15
-10
-13
-11
-17
-2
-1
-9
-11
-17
-19
3
-9
-17
-16
-16
-14
-13
-10
-6
-4
-7
-7
-11
-6
-8
-16
-6
-13
-11
-9
-14
-5
-8
-11
-15
-12
-15
-8
-14
-8
-7
-14
-12
-8
-5
-14
-8
-5
-17
-9
6
-5
3
-9
-7
-12
-1
-8
-17
-13
-6
-8
-5
-12
-11
-13
-10
-8
-8
-15
-8
-10
-17
-4
-11
-13
-3
-12
-6
-10
-14
-12
-6
-5
-11
-11
-11
-10
-2
-10
-5
-9
6
-4
-10
-4
-12
-12
-10
-10
-9
-11
-6
-13
-10
-13
-8
-10
-8
-7
-14
-8
-8
-7
-8
-10
-12
-9
-5
-7
-9
-13
-3
-7
-8
-13
-16
-5
-3
-18
-9
8
-6
-7
-16
-11
-16
-5
-11
-2
-8
-10
-9
-16
-13
-8
-16
-15
-12
-8
-12
-10
-10
-8
-13
-5
-15
-1
-13
-11
-15
-13
-2
-11
-11
-2
-17
-11
-15
-10
-14
-13
-13
-10
-14
-8
-1
-7
-10
-10
-8
-1
-12
-16
-12
-13
-16
-15
-11
-10
-15
-12
-3
-5
-3
-7
-15
-12
-10
-9
-2
-8
-7
-8
-12
-8
-5
-7
-12
-2
-13
-6
-7
-16
-10
4
-10
-6
-17
-8
-12
-1
-14
-9
-11
-7
-8
2
-14
-5
-1
-14
-5
-16
-13
-9
-11
5
-4
3
-8
-10
-4
-10
-4
-2
-16
-11
-13
-10
-6
-3
-2
-9
-11
-3
-11
-2
-10
-8
-7
-4
-8
-4
-4
-11
-9
-9
-11
-11
-10
-5
-9
-6
-3
-13
3
-5
-12
-2
-4
-8
-14
-9
-13
-1
-12
8
-13
-11
-9
-3
-2
-3
-6
-7
-5
-4
-7
-18
-1
-8
-7
-8
-2
4
-9
2
-3
-10
3
-3
-4
-9
-3
-13
10
-1
-8
-11
-11
-6
-7
-3
-5
-1
-11
-12
-6
3
-7
-1
-3
4
2
-3
-7
-9
-1
3
7
1
-6
-13
-1
-8
-14
-1
-7
-8
-1
4
-3
-6
-10
-10
-3
-12
-8
-10
11
-9
1
-11
-5
-6
1
-13
-10
-3
-5
5
3
-7
-14
-5
-4
-6
3
-8
-10
3
-8
-9
-10
-12
-1
-9
-2
-5
-12
-12
-3
-4
-5
-8
-2
5
-9
-4
4
-4
-1
-4
-2
-12
1
-5
2
-7
-2
5
-11
-1
-6
1
-3
-8
-4
-9
-8
-4
3
-8
-5
-13
-9
-3
-6
-3
5
4
4
-9
-6
6
-8
-3
-7
-13
-1
-9
-8
-7
-6
-8
-6
-9
-4
-6
3
-9
-11
-2
-2
-2
-3
7
-10
-10
6
3
-7
6
-10
-1
-6
3
-1
-8
2
-5
-6
-6
-6
-5
-6
2
-3
-1
9
-10
-13
2
11
-2
-2
-4
12
10
-5
4
10
5
-6
-3
8
1
5
12
3
9
1
-5
4
-8
6
-10
14
5
-1
-13
-8
-6
6
-4
-3
12
-1
-2
9
5
8
1
10
13
-4
-4
-3
-3
-4
5
-5
-7
-11
